THI,RH (%),Ruminating,Eating,Lactation,DIM
75.67166666666667,47.63333333333333,1286,514,2,476
76.24166666666666,45.016666666666666,0,1586,2,476
76.63166666666666,43.98333333333333,1500,34,2,476
77.05,43.31666666666667,0,2666,2,476
77.78999999999999,47.45,0,1181,2,476
77.04333333333334,44.56666666666667,1860,139,2,476
76.96000000000001,48.23333333333333,1200,1200,2,476
72.72833333333332,57.86666666666667,0,1142,2,476
72.03166666666667,60.16666666666666,2100,598,2,476
70.08999999999999,65.06666666666666,1860,0,2,477
69.70166666666667,66.08333333333333,1303,900,2,477
69.68833333333333,65.71666666666667,1620,1277,2,477
72.66499999999999,60.35,0,2623,2,477
74.62166666666667,54.73333333333333,1637,240,2,477
74.97166666666666,42.016666666666666,1003,677,2,477
76.24666666666667,38.31666666666667,1800,0,2,477
76.58,35.13333333333333,1455,180,2,477
77.295,33.88333333333333,1020,705,2,477
77.46499999999999,34.21666666666667,0,1680,2,477
77.53333333333333,34.88333333333333,2280,960,2,477
77.79166666666667,37.16666666666666,0,2460,2,477
77.83666666666666,40.71666666666667,1785,15,2,477
76.30333333333333,48.7,1800,0,2,477
74.64833333333333,55.23333333333333,1260,0,2,477
73.66333333333334,56.66666666666666,0,1440,2,477
72.79166666666667,57.98333333333333,1485,0,2,477
72.33500000000001,59.46666666666667,675,2565,2,478
71.055,64.91666666666667,1080,0,2,478
72.46166666666666,63.333333333333336,300,1140,2,478
74.42333333333333,56.18333333333333,2100,660,2,478
78.81833333333334,46.2,1983,0,2,478
79.86166666666666,48.31666666666667,480,1317,2,478
80.31333333333333,42.43333333333333,1557,180,2,478
80.92833333333333,41.6,723,2517,2,478
81.07833333333333,40.86666666666667,0,2280,2,478
80.80666666666666,48.55,3063,0,2,478
79.80833333333334,54.96666666666667,1197,240,2,478
77.03,62.13333333333333,297,2103,2,478
76.45666666666666,63.0,3423,0,2,478
75.94333333333334,63.06666666666667,0,1920,2,479
75.40333333333334,63.8,2697,0,2,479
74.88666666666667,65.26666666666667,363,0,2,479
74.10166666666666,67.4,2700,0,2,479
73.825,67.88333333333334,660,300,2,479
74.56333333333333,66.18333333333334,360,2069,2,479
77.20666666666666,57.73333333333333,91,1769,2,479
78.91333333333334,52.36666666666667,1469,720,2,479
82.06833333333334,48.766666666666666,271,1949,2,479
82.96000000000001,49.78333333333333,2609,900,2,479
83.605,50.266666666666666,1171,0,2,479
83.78500000000001,48.85,329,1620,2,479
83.57666666666667,48.516666666666666,0,2249,2,479
83.17,49.88333333333333,300,1560,2,479
81.69166666666666,55.28333333333333,389,1560,2,479
80.58166666666666,62.833333333333336,3211,0,2,479
79.67,62.93333333333333,180,0,2,479
78.50666666666666,64.01666666666667,1049,2551,2,480
78.41833333333334,66.68333333333334,1951,989,2,480
77.70166666666667,67.45,2609,0,2,480
76.67333333333333,69.93333333333334,1320,331,2,480
76.09666666666666,68.71666666666667,1620,1380,2,480
76.58166666666666,66.93333333333334,2611,420,2,480
78.855,59.75,0,509,2,480
80.24833333333332,54.833333333333336,0,31,2,480
81.25333333333333,54.38333333333333,0,1589,2,480
82.385,53.63333333333333,2040,240,2,480
83.225,53.583333333333336,1711,540,2,480
83.91666666666667,53.05,1349,240,2,480
84.42333333333333,49.98333333333333,900,151,2,480
84.685,50.266666666666666,240,3000,2,480
84.195,46.21666666666667,0,3089,2,480
84.175,47.35,0,0,2,480
83.49,46.43333333333333,0,1771,2,480
83.1,49.9,1080,1109,2,480
82.26,59.13333333333333,1740,180,2,480
81.17666666666668,61.13333333333333,60,0,2,480
80.29833333333333,61.333333333333336,1800,1200,2,480
80.37833333333333,62.2,1380,1260,2,480
79.75999999999999,65.45,2040,0,2,481
79.18166666666666,66.16666666666667,1469,871,2,481
78.11,70.86666666666666,2251,269,2,481
77.225,73.5,329,2220,2,481
76.32166666666667,73.28333333333333,3211,60,2,481
75.58999999999999,69.78333333333333,629,1771,2,481
75.115,61.91666666666666,1980,480,2,481
75.69666666666667,59.5,1769,1771,2,481
77.02166666666668,55.6,540,1200,2,481
80.64666666666668,51.53333333333333,1559,181,2,481
80.68333333333334,51.3,301,420,2,481
80.31833333333334,52.48333333333333,0,1739,2,481
79.96166666666666,50.73333333333333,0,1741,2,481
79.52666666666667,52.65,720,1019,2,481
78.79,52.25,959,961,2,481
78.48666666666666,55.7,841,1620,2,481
78.30666666666666,62.61666666666667,3120,0,2,481
